imdb_title_id,original_title,release_year,genre,duration,country,content_rating,director,income,votes,score,income_log
tt0033467,Citizen Kane,1948-11-25,"Drama, Mystery",119.0,USA,Unknown,Orson Welles,1594107,389322,7.6,14.281824890114885
tt8579674,1917,2020-01-23,"Drama, War",119.0,USA,Unknown,Sam Mendes,384857224,362897,7.6,19.768382979316517
tt0086879,Amadeus,1985-02-15,"Biography, Drama, History",160.0,USA,R,Milos Forman,52066791,361028,7.6,17.768037913869147
tt0052357,Vertigo,1958-11-18,"Mystery, Romance, Thriller",128.0,USA,Unknown,Alfred Hitchcock,7796389,352786,7.5,15.869171364012528
tt0053125,North by Northwest,1959-10-28,"Adventure, Mystery, Thriller",136.0,USA,Unknown,Alfred Hitchcock,73446,291628,7.5,11.204319336656239
tt2106476,Jagten,2012-11-22,Drama,115.0,Denmark,R,Thomas Vinterberg,15843274,269616,7.5,16.578255678030178
tt0056172,Lawrence of Arabia,1963-10-29,"Adventure, Biography, Drama",228.0,United Kingdom,PG,David Lean,45710874,261504,7.5,17.637846792544316
tt0070735,The Sting,1974-03-21,"Comedy, Crime, Drama",129.0,USA,PG,George Roy Hill,156000000,236285,7.5,18.86536657162407
tt0082096,Das Boot,1982-03-18,"Adventure, Drama, Thriller",149.0,Germany,R,Wolfgang Petersen,11487676,226427,7.5,16.256785453579607
tt0059578,Per qualche dollaro in piÃ¹,1965-12-20,Western,132.0,Italy,Unknown,Sergio Leone,15000000,226039,7.4,16.52356082573315
tt1832382,Jodaeiye Nader az Simin,2011-10-21,Drama,123.0,Iran,PG-13,Asghar Farhadi,22926076,214165,7.4,16.947785554283573
tt0045152,Singin' in the Rain,1953-02-05,"Comedy, Musical, Romance",103.0,USA,Unknown,Stanley Donen,1864182,213152,7.4,14.438333445374393
